cpu_mean,cpu_max,cpu_variance,ram_mean,ram_growth_rate,network_mean,disk_io_mean,process_count_mean,thread_count_mean,vscode_active,browser_active,compiler_active,workload_label
25.4119,36.5125,17.7532,32.5096,0.594,0.2569,0.5415,104,6.237,1,1,0,Coding
86.1916,97.6962,3.9335,63.9455,6.2208,0.048,0.2927,159,11.5692,1,0,1,Compiling
1.8378,8.2131,0.4983,13.3146,-0.1787,-0.1894,1.2778,53,1.7748,0,0,0,Idle
75.6882,89.6755,2.0355,77.0607,-0.0852,0.2842,0.7489,93,12.2225,0,0,0,Gaming
9.9495,43.7222,43.6727,34.5196,1.5819,0.2792,1.0104,122,4.8484,0,1,0,Browsing
91.4324,97.5768,2.9105,66.0987,3.5005,0.1957,0.2781,143,16.9904,1,0,1,Compiling
16.6056,60.2502,37.2251,50.4181,1.6321,-0.4241,1.2517,109,5.3658,0,1,0,Browsing
19.8148,45.5725,58.4892,43.6883,-0.6311,0.4116,0.812,117,7.1293,0,1,0,Browsing
78.9397,86.417,2.7459,81.3271,-0.2448,-0.1602,0.764,98,13.1734,0,0,0,Gaming
2.7181,8.7133,0.5628,13.5531,-0.2312,0.0583,1.0713,62,2.3571,0,0,0,Idle
73.0632,92.316,1.2934,69.9965,-0.1192,-0.0614,0.4436,92,11.9569,0,0,0,Gaming
81.3223,86.0514,2.7078,72.7871,0.3759,-0.1818,0.5643,97,15.3752,0,0,0,Gaming
79.0759,93.5644,2.0361,79.3857,0.1615,-0.013,0.3854,100,14.0668,0,0,0,Gaming
30.3039,62.2813,6.8497,58.2559,0.1735,-0.1276,1.5095,108,7.0469,0,1,0,Video Call
2.0033,4.9182,0.2528,16.4287,-0.4214,0.0017,1.2528,67,1.1015,0,0,0,Idle
19.5562,47.7072,48.3544,36.6637,1.7679,0.113,1.2762,100,3.7011,0,1,0,Browsing
16.2183,46.4396,16.0658,34.5334,1.1555,0.278,0.4873,107,6.1022,1,1,0,Coding
30.9373,70.0782,11.4127,49.0483,0.4464,0.2035,0.9503,100,5.2203,0,1,0,Video Call
