cpu_mean,cpu_max,cpu_variance,ram_mean,ram_growth_rate,swap_percent,network_mean,network_symmetry,net_variance,udp_tcp_ratio,disk_io_mean,process_count_mean,thread_count_mean,load_avg,ctx_switches_per_core,cpu_user_system_ratio,psi_cpu_some,psi_mem_some,psi_io_some,vscode_active,browser_active,compiler_active,cluster_id,workload_label
34.6199,42.2496,9.075,51.9346,2.6417,9.3299,0.0004,0.0038,0.1189,0.0243,3.4708,443,151.62,1.5141,3034.6993,7.5419,12.9228,3.3289,16.7152,1,0,1,2,Compiling
19.422,31.7046,13.569,41.6911,0.6871,8.5803,0.0263,0.0209,3.7931,0.1355,1.9109,467,104.8592,0.3928,513.6395,2.7687,0.718,0.2519,0.0254,0,1,0,1,Browsing
16.0033,26.0201,12.074,50.6712,0.5688,9.9977,0.0514,0.7114,0.0445,0.9957,1.0939,487,181.682,0.068,748.5425,1.8084,0.6577,0.1469,0.0761,0,1,0,0,Video_Call
14.8857,38.1597,20.9739,32.3191,1.6728,8.2091,0.0487,0.0341,2.3454,0.152,1.9763,447,59.6383,0.7179,577.728,5.067,1.2082,0.3011,0.9475,0,1,0,1,Browsing
4.7968,7.8503,2.9554,28.7813,0.1992,4.8302,0.004,0.0406,0.0527,0.1083,0.3519,456,101.2445,0.2522,150.6918,2.4768,0.0123,0.0178,0.0,0,0,0,4,Idle
86.3006,99.672,3.4387,63.4015,0.3621,8.5813,0.0482,0.2767,0.1482,0.3197,2.0344,439,119.2253,0.5849,1607.7095,5.9558,6.7071,0.3521,0.4858,0,0,0,3,Gaming
64.8994,74.7019,3.4013,69.5228,-0.2547,13.1186,0.0548,0.2288,0.1546,0.5103,1.4991,431,58.9374,0.5445,1347.5548,4.8353,7.0382,0.6627,1.0424,0,0,0,3,Gaming
3.5422,5.9107,0.9045,32.383,0.0357,5.0759,0.0003,0.0422,0.1797,0.0929,0.187,447,117.4987,0.3975,122.2026,3.3957,0.0,0.0002,0.0,0,0,0,4,Idle
13.8141,25.1215,26.0012,35.8718,4.0601,11.7312,0.0399,0.027,3.8244,0.0822,1.6629,410,66.0796,0.7099,491.1214,3.7433,0.9077,0.1418,0.8805,0,1,0,1,Browsing
46.0239,60.9998,1.294,71.4871,0.033,11.4784,0.0501,0.2598,0.3258,0.5693,1.5834,470,155.9404,0.1418,1673.961,4.6627,8.4823,0.3228,0.2702,0,0,0,3,Gaming
4.7571,8.6851,1.7427,33.0613,0.1728,4.0688,0.0011,0.0405,0.0056,0.1198,0.624,494,163.6472,0.2732,187.0794,3.0756,0.0464,0.0,0.0,0,0,0,4,Idle
86.8747,94.5115,2.4938,60.8625,-0.0131,9.3944,0.019,0.1882,0.193,0.524,1.4582,417,73.39,0.5167,1287.6916,5.4944,2.7568,0.4171,0.5133,0,0,0,3,Gaming
18.2925,37.7276,22.2621,42.6536,5.094,9.4167,0.0446,0.0231,3.4239,0.0709,1.5469,412,51.0567,0.5972,730.6906,4.0694,0.5113,0.1931,0.6569,1,1,0,1,Browsing
21.7134,36.9032,8.2415,40.4361,0.3448,6.1298,0.0962,0.6944,0.0957,0.8479,0.7466,425,53.9498,0.881,921.5847,2.219,1.9587,0.0738,0.2557,0,1,0,0,Video_Call
42.1911,52.4655,4.1475,65.8728,0.1083,10.5483,0.0407,0.254,0.1092,0.4547,1.0904,466,186.978,0.3233,1708.9966,6.7856,6.8071,0.3241,1.1561,0,0,0,3,Gaming
5.4756,13.816,6.0495,62.2023,3.4286,7.5505,0.0038,0.0075,0.0451,0.0416,4.5236,480,203.5391,1.3786,1872.5902,10.2718,20.0475,3.3304,21.834,1,0,1,2,Compiling
19.5554,31.9445,20.4425,40.0673,0.6607,4.0222,0.0134,0.0109,1.7032,0.1198,0.0124,453,89.9752,0.3967,396.2742,4.9512,0.4086,0.0,0.2776,1,0,0,5,Coding
89.6332,100.0,7.6615,56.8948,3.9236,15.661,0.007,0.0084,0.0462,0.0772,2.3902,415,97.2289,1.9531,2816.1358,10.1769,14.789,1.0289,11.5055,1,0,1,2,Compiling
28.7472,34.37,18.9464,46.5338,0.3151,5.9718,0.0076,0.0427,1.0869,0.0944,0.9198,426,77.957,0.6536,521.6032,3.6606,0.3545,0.0,0.2759,1,1,0,5,Coding
47.1173,51.7086,2.6385,65.5774,0.3447,9.6177,0.0539,0.2708,0.1126,0.522,1.3885,473,134.4661,0.2235,1211.6159,4.6374,7.0773,0.4158,1.0137,0,0,0,3,Gaming
8.3299,20.6892,8.9234,38.7959,1.4536,9.3969,0.0884,0.6585,0.0847,0.9271,0.9231,470,185.3548,0.2414,827.2768,2.1869,0.897,0.1933,0.2554,1,1,0,0,Video_Call
26.4845,39.0422,21.9325,35.3028,0.9274,7.3242,0.0115,0.0144,1.9265,0.1015,0.9651,421,62.498,0.6429,524.7037,3.9606,0.1543,0.0123,0.0367,1,0,0,5,Coding
1.6825,6.2879,0.5854,32.473,-0.1873,3.2811,0.0038,0.0492,0.1636,0.1468,0.5462,464,175.0956,0.1337,168.7372,2.4849,0.0605,0.0053,0.0049,0,0,0,4,Idle
5.6762,7.9288,1.5211,31.7065,-0.0175,4.0104,-0.0004,0.0565,0.1327,0.1652,1.1749,467,170.8277,0.2528,140.431,2.9819,0.0005,0.0194,0.0,0,0,0,4,Idle
5.2685,8.4823,2.9745,27.1098,0.4671,3.4816,0.0047,0.0908,0.1003,0.0989,0.1203,413,72.76,0.6567,215.9426,3.4227,0.0,0.0018,0.0,0,0,0,4,Idle
28.181,53.8236,24.8863,45.4574,0.3973,7.2133,0.0041,0.009,1.6865,0.1027,0.8846,464,105.7929,0.4965,480.4728,3.4354,0.3803,0.0,0.2372,1,1,0,5,Coding
78.9053,84.3815,3.5664,63.4722,-0.169,8.6727,0.074,0.1722,0.1886,0.5049,1.2434,418,63.3565,1.0281,1694.1444,4.7088,5.7379,0.4806,1.5535,0,0,0,3,Gaming
6.747,17.7792,23.0951,44.0226,0.5128,6.6114,0.0377,0.0371,3.1506,0.1036,1.2774,466,158.1952,0.3273,555.8773,4.7874,0.7419,0.226,0.8056,0,1,0,1,Browsing
19.2313,34.0591,19.81,36.8721,0.1952,7.0377,0.0059,0.0395,0.9851,0.1011,1.0693,458,92.0038,0.4197,500.6325,4.96,0.4552,0.0,0.3611,1,1,0,5,Coding
5.3572,6.9839,1.3763,34.6804,0.323,1.8717,0.0043,0.0322,0.108,0.108,0.9973,410,55.9122,0.9366,208.4465,2.8611,0.0,0.0255,0.0043,0,0,0,4,Idle
