cpu_mean,cpu_max,cpu_variance,ram_mean,ram_growth_rate,swap_percent,network_mean,network_symmetry,net_variance,udp_tcp_ratio,disk_io_mean,process_count_mean,thread_count_mean,load_avg,ctx_switches_per_core,cpu_user_system_ratio,psi_cpu_some,psi_mem_some,psi_io_some,vscode_active,browser_active,compiler_active,workload_label
3.725075,5.556805,0.633303,11.752783,0.155197,0.0,0.002402,0.027389,0.060104,1.248452,0.435765,394.024692,35.12303,0.007401,32.389383,2.398436,0.0,0.0,0.014423,0,0,0,idle
11.775158,25.281886,19.532094,13.027005,0.493477,0.418538,0.066031,0.026378,4.443045,0.633977,2.400966,423.544794,50.161242,0.301677,106.464622,4.321664,0.753373,0.0,0.078453,0,1,0,browsing
3.056778,3.556778,0.346669,14.291508,-0.053205,0.0,0.0021,0.0655,0.074818,1.403685,0.226267,398.950955,35.570506,0.02518,35.962911,3.78055,0.0,0.0,0.036384,0,0,0,idle
16.561583,26.934717,10.820177,24.606426,-0.060286,0.0,0.087411,0.811283,0.075541,1.948193,0.723198,413.773034,51.013162,0.280392,331.217802,1.83694,0.590555,0.0,0.039844,0,1,0,video_call
1.616973,4.061028,1.537818,13.144533,0.018397,0.0,0.002928,0.024621,0.071344,1.356389,0.144656,401.259674,39.903164,0.028795,38.812819,1.477874,0.0,0.0,0.033019,0,0,0,idle
15.383608,25.336301,10.999839,24.496617,0.036984,0.0,0.082713,0.752381,0.063764,2.065376,1.23682,415.912722,49.58508,0.452666,355.113149,2.061612,0.489197,0.0,0.06598,0,1,0,video_call
42.753892,73.736037,20.009728,37.251285,2.682796,0.707833,0.006646,0.019958,0.900617,0.930112,7.088633,416.53604,86.539798,1.341539,596.075484,8.458574,1.431122,0.077704,3.743803,1,1,1,coding
6.267741,21.540247,17.622895,21.638021,0.534576,0.381472,0.051188,0.027546,3.594289,0.653077,1.210986,420.26366,50.463968,0.294387,155.28661,3.568211,0.319995,0.0,0.135471,0,1,0,browsing
0.877973,1.400694,0.690432,14.724257,0.087658,0.0,0.003251,0.019762,0.029955,1.281394,0.217769,399.453169,36.901138,0.009492,35.46994,2.094123,0.0,0.0,0.043616,0,0,0,idle
23.984215,45.179116,25.699992,32.424928,1.014659,0.0,0.00647,0.020122,1.035546,0.257088,1.621746,431.966145,62.645665,1.592101,280.281149,7.345545,5.810249,0.123325,6.530855,1,1,1,coding
15.775826,29.185296,11.844137,28.580853,2.175597,1.30588,0.00903,0.018662,1.137711,0.362624,0.5,432.126048,54.943854,1.528463,477.86775,10.304281,7.466747,0.116367,5.08909,1,0,1,coding
1.789446,4.23397,0.0,14.52943,-0.005209,0.0,0.001083,0.058949,0.086594,1.313968,0.436121,392.924235,40.043116,0.017259,19.046816,3.454198,0.0,0.0,0.066834,0,0,0,idle
3.127192,7.048268,2.296774,12.74779,0.073369,0.0,0.00075,0.005252,0.042567,1.450145,0.0,400.09785,37.298801,0.015443,1.0,2.147631,0.0,0.0,0.031697,0,0,0,idle
0.2,2.189123,1.693022,11.395594,-0.100989,0.0,0.002355,0.039928,0.053594,1.436239,0.268733,403.490618,39.524314,0.033524,28.591939,2.466437,0.0,0.0,0.0,0,0,0,idle
22.476678,41.386545,21.355199,23.355839,2.626412,0.0,0.005883,0.023034,1.206006,0.9707,1.935188,414.996495,49.511261,1.596593,377.552153,8.008602,4.674095,0.16991,1.411449,1,0,1,coding
8.556732,21.922823,36.249099,20.534332,1.608674,0.291224,0.051205,0.019846,4.534844,0.586846,1.017296,420.888037,44.442337,0.157611,159.879767,5.081606,0.37799,0.0,0.24551,0,0,0,browsing
0.734239,6.048687,0.975507,12.331678,0.018005,0.0,0.001422,0.015596,0.056934,1.348309,0.285535,394.316196,40.849827,0.000473,24.754145,2.553181,0.0,0.0,0.058751,0,1,0,idle
8.203147,21.503527,24.126287,17.133134,0.906289,0.23871,0.024931,0.016399,2.577415,0.506952,1.395821,423.07139,52.283076,0.27875,198.420348,3.590529,0.610752,0.0,0.014237,0,1,0,browsing
1.75701,5.673955,1.569986,12.708263,-0.090413,0.0,0.001897,0.067575,0.078254,1.178155,0.354913,400.945016,40.997134,0.031075,1.0,3.980073,0.0,0.0,0.0,0,0,0,idle
2.608553,4.458133,0.995893,12.911783,0.107611,0.0,0.00251,0.033454,0.066012,1.415392,0.4814,394.902147,39.007975,0.023973,19.529707,1.29747,0.0,0.0,0.039278,0,0,0,idle
13.09532,24.144684,10.108187,13.950049,0.080354,0.0,0.067321,0.730206,0.095329,2.034228,0.126391,411.838982,46.774716,0.320304,330.905083,1.339688,1.092034,0.0,0.135916,0,1,0,video_call
2.195932,4.92532,0.0,12.712201,-0.105686,0.0,0.002068,0.056116,0.053687,1.423041,0.0,410.333048,33.820061,0.01259,8.387749,2.945935,0.0,0.0,0.054531,0,0,0,idle
12.159226,20.376712,12.862332,18.531075,0.538887,0.0,0.09136,0.767016,0.052793,1.365193,1.508463,429.69458,51.622698,0.35545,318.89024,2.237345,0.463498,0.0,0.088876,0,1,0,video_call
20.332951,33.611758,10.683912,23.545158,-0.185136,0.0,0.088527,0.729539,0.117459,1.559736,0.377701,419.167039,46.367179,0.293201,311.453483,2.464454,0.910102,0.0,0.165936,0,1,0,video_call
1.192077,2.747449,0.0,11.179031,0.138009,0.0,0.002278,0.044485,0.062079,1.250583,0.472039,397.597833,35.913545,0.015936,5.736833,1.730915,0.0,0.0,0.074863,0,0,0,idle
11.727412,25.772524,9.613836,26.470572,0.160243,0.0,0.082994,0.885214,0.079288,1.470356,0.817555,416.507772,51.709117,0.414534,319.262947,2.143449,0.915994,0.0,0.073967,0,1,0,video_call
1.159445,4.542844,1.265692,16.329219,0.095732,0.0,0.003449,0.046529,0.050551,1.211767,0.306414,398.462071,35.348912,0.027365,32.353673,3.2105,0.0,0.0,0.033615,0,0,0,idle
11.806747,16.534644,17.685668,21.959602,2.073828,0.333441,0.012167,0.012743,0.834846,0.90995,5.685063,431.85975,51.346262,1.305409,676.420283,7.36371,5.941782,0.125107,3.475321,1,1,1,coding
8.592153,17.26699,26.498558,33.278431,2.846282,0.091222,0.012397,0.030534,3.288562,0.581709,2.522361,436.159614,49.83735,0.080692,193.283185,3.231743,0.142364,0.0,0.178057,0,1,0,browsing
18.75077,30.551249,13.253681,32.644531,1.04551,0.266315,0.004963,0.02935,0.720214,0.683224,6.446823,413.649321,49.260809,2.491126,641.525304,7.367105,5.428799,0.154397,2.419352,1,1,1,coding
10.363991,19.913169,10.312099,28.440973,0.028425,0.0,0.077253,0.607225,0.090932,1.699998,0.363488,408.599565,43.788447,0.320035,299.424949,2.354658,0.451738,0.0,0.08905,0,1,0,video_call
9.153756,28.321309,24.223384,24.996082,0.703864,0.101596,0.047829,0.031182,2.948016,0.532559,2.248468,431.755278,43.495875,0.24335,140.507643,4.813714,0.459595,0.0,0.163137,0,1,0,browsing
9.232505,23.282719,9.930249,24.711258,-0.290305,0.0,0.086255,0.801475,0.08246,2.041671,0.682718,400.397457,46.37146,0.335323,448.012858,2.612046,1.016374,0.0,0.111522,0,1,0,video_call
11.791286,23.177727,9.830756,23.769224,0.497373,0.0,0.061793,0.778183,0.07192,1.520438,0.708593,406.89826,47.628334,0.41124,393.405903,1.856029,0.589186,0.0,0.039328,0,1,0,video_call
18.678297,31.21583,10.388561,20.040852,-0.221777,0.0,0.079805,0.652696,0.106111,1.583761,0.794482,421.085648,47.784826,0.282445,277.227022,1.882765,0.278985,0.0,0.089105,0,1,0,video_call
32.369571,59.571999,18.788839,24.544304,0.195287,1.480045,0.006683,0.009744,0.557129,0.934515,3.737519,413.122394,42.586276,0.724094,647.135273,8.313807,5.681881,0.117414,3.610957,1,1,1,coding
8.224552,29.218427,22.016843,24.013172,2.004616,0.170239,0.05485,0.005979,4.628456,0.503123,1.215363,438.421978,42.769394,0.198061,136.82569,4.465081,0.201846,0.0,0.140968,1,1,0,browsing
13.187998,24.624701,9.743163,22.455231,0.370507,0.0,0.096171,0.815497,0.068309,1.877317,1.011243,416.829479,51.241443,0.565589,234.72642,1.905792,1.112261,0.0,0.101014,0,1,0,video_call
6.5994,22.959158,23.107557,25.588781,3.091712,0.517673,0.041013,0.032188,2.699548,0.459652,2.034989,431.078832,48.56764,0.333649,210.255785,4.215491,0.061955,0.0,0.132804,0,1,0,browsing
